ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
0,0.6,0.1,0.15,15,307,0.5429639,1
0,0.5,0.1,0.15,14,308,0.4037794,1
0,0.4,0.1,0.15,9,309,0.4317897,0
0,0.5,0.2,0.15,11,310,0.4733812,1
0,0.4,0.2,0.15,2,311,0.3480654,1
0,0.4,0.2,0.15,11,312,0.3896746,1
0,0.4,0.1,0.15,12,313,0.3900311,0
0,0.4,0.1,0.15,0,314,0.3064513,1
0,0.6,0.1,0.15,19,315,0.3894581,0
0,0.6,0.1,0.15,14,316,0.3900802,0
0,0.6,0.1,0.15,0,317,0.4733596,1
0,0.6,0.2,0.15,7,318,0.5011982,1
0,0.6,0.1,0.15,11,319,0.4454459,0
0,0.6,0.1,0.15,13,320,0.5152053,1
0,0.6,0.2,0.15,9,321,0.571283,1
0,0.6,0.1,0.15,3,322,0.4320095,0
0,0.4,0.2,0.15,4,323,0.4173606,1
0,0.6,0.1,0.15,1,324,0.528882,1
0,0.6,0.2,0.15,1,325,0.5008921,1
0,0.5,0.1,0.15,18,326,0.5013679,0
0,0.6,0.2,0.15,5,327,0.3896716,0
0,0.5,0.2,0.15,8,328,0.4177257,1
0,0.6,0.2,0.15,13,329,0.5844684,1
0,0.4,0.1,0.15,1,330,0.4453528,0
0,0.4,0.1,0.15,3,331,0.3900202,0
0,0.6,0.2,0.15,4,332,0.5565602,1
0,0.5,0.2,0.15,5,333,0.5150163,1
0,0.5,0.1,0.15,3,334,0.4731371,0
0,0.4,0.2,0.15,8,335,0.4041503,1
0,0.5,0.2,0.15,12,336,0.3619828,1
0,0.6,0.1,0.15,6,337,0.473285,1
0,0.5,0.2,0.15,15,338,0.3897413,1
0,0.6,0.1,0.15,2,339,0.4175144,0
0,0.4,0.2,0.15,15,340,0.4175183,1
0,0.6,0.2,0.15,16,341,0.3757173,0
0,0.4,0.1,0.15,4,342,0.3899398,0
0,0.5,0.1,0.15,8,343,0.3621864,1
0,0.5,0.1,0.15,16,344,0.6263474,0
0,0.4,0.1,0.15,18,345,0.3758851,0
0,0.4,0.2,0.15,1,346,0.3482731,1
